"id,""submitdate"",""lastpage"",""startlanguage"",""seed"",""startdate"",""datestamp"",""edad"",""sex"",""pais"",""tipouni"",""perfil"",""exed"",""area"",""acreedu"",""exin"",""acreinv"",""grupoinv"",""nart"",""autprin"",""njcr"",""envnohh[SQ001]"",""envnohh[SQ002]"",""envnohh[SQ005]"",""envnohh[SQ003]"",""envnohh[SQ004]"",""pubnohh"",""mot[SQ001]"",""mot[SQ002]"",""mot[SQ003]"",""mot[SQ004]"",""mot[SQ005]"",""mot[SQ006]"",""mot[SQ007]"",""mot[SQ008]"",""mot[SQ009]"",""mot[SQ010]"",""priorpub"",""util"",""pract[SQ001]"",""pract[SQ002]"",""pract[SQ003]"",""pract[SQ004]"",""pract[SQ005]"",""pract[SQ006]"",""pract[SQ007]"",""pract[SQ008]"",""pract[SQ009]"",""pract[SQ010]"",""pract[SQ011]"",""pract[SQ012]"",""pract[SQ013]"",""pract[SQ014]"",""pract[SQ015]"",""pract[SQ016]"",""pract[SQ017]"",""pract[SQ018]"",""pract[SQ019]"",""pract[SQ020]"",""pract[SQ021]"",""pract[SQ022]"",""pract[SQ023]"",""pract[SQ024]"",""pract[SQ025]"",""pract[SQ026]"",""pract[SQ027]"",""pract[SQ028]"",""malaspr[SQ001]"",""malaspr[SQ002]"",""malaspr[SQ003]"",""malaspr[SQ004]"",""malaspr[SQ005]"",""malaspr[SQ006]"",""malaspr[SQ007]"",""malaspr[SQ008]"",""malaspr[SQ009]"",""malaspr[SQ010]"",""malaspr[SQ011]"",""malaspr[SQ012]"",""malaspr[SQ013]"",""malaspr[SQ014]"",""malaspr[SQ015]"",""malaspr[SQ016]"",""malaspr[SQ017]"",""malaspr[SQ018]"",""malaspr[SQ019]"",""malaspr[SQ020]"",""malaspr[SQ021]"",""malaspr[SQ022]"",""malaspr[SQ023]"",""malaspr[SQ024]"",""malaspr[SQ025]"",""malaspr[SQ026]"",""malaspr[SQ027]"",""malaspr[SQ028]"",""otro"",""interviewtime"",""groupTime6820"",""edadTime"",""sexTime"",""paisTime"",""tipouniTime"",""perfilTime"",""exedTime"",""areaTime"",""acreeduTime"",""exinTime"",""acreinvTime"",""grupoinvTime"",""nartTime"",""autprinTime"",""njcrTime"",""groupTime7823"",""envnohhTime"",""pubnohhTime"",""motTime"",""priorpubTime"",""utilTime"",""practTime"",""malasprTime"",""otroTime""";
"474,""2022-02-09 15:51:13"",""22"",""es"",""1432375454"",""2022-02-09 15:44:48"",""2022-02-09 15:51:13"",""61"",""1"",""A45"",""A1"",""A3"",""38"",""A9"",""2"",""35"",""2"",""1"",""76"",""45"",""76"",""2"",""2"",""1"",""2"",""2"",""A2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""1"",""A3"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""2"",""2"",""1"",""1"",""1"",""2"","""",""394.79"","""",""8.11"",""5.27"",""10.53"",""9.71"",""8.46"",""8.01"",""16.86"",""10.02"",""13.8"",""11.35"",""7.27"",""35.22"",""10.93"",""10.31"","""",""13.03"",""9.39"",""21.25"",""22.33"",""8.37"",""82.96"",""64.83"",""6.78""";
"475,""2022-02-09 15:53:43"",""22"",""es"",""1181643456"",""2022-02-09 15:45:43"",""2022-02-09 15:53:43"",""39"",""0"",""A36"",""A2"",""A3"",""10"",""A26"",""1"",""15"",""1"",""2"",""12"",""9"",""10"",""2"",""1"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""A1"",""A1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"","""",""492.21"","""",""7.1"",""6.98"",""11.41"",""6.93"",""12.07"",""21.83"",""13.21"",""10.85"",""31.61"",""6.38"",""7.58"",""7.94"",""13.28"",""17.74"","""",""16.71"",""23.55"",""24.65"",""20.63"",""9.44"",""178.88"",""35.7"",""7.74""";
"476,""2022-02-09 15:53:31"",""22"",""es"",""2079165924"",""2022-02-09 15:46:49"",""2022-02-09 15:53:31"",""36"",""1"",""A42"",""A1"",""A3"",""10"",""A4"",""2"",""10"",""2"",""2"",""17"",""8"",""10"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""A1"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""412.83"","""",""7.53"",""5.47"",""13.55"",""7"",""8.63"",""9.11"",""23.87"",""7.43"",""9.04"",""7.84"",""5.7"",""6.9"",""11.42"",""10.65"","""",""21.05"",""8.43"",""23.81"",""17.61"",""11.18"",""119.54"",""66.97"",""10.1""";
"477,""2022-02-09 15:53:01"",""22"",""es"",""450159275"",""2022-02-09 15:47:27"",""2022-02-09 15:53:01"",""52"",""0"",""A39"",""A2"",""A3"",""22"",""A2"",""1"",""22"",""1"",""1"",""14"",""14"",""3"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"","""",""342.33"","""",""10.13"",""4.34"",""12.01"",""9.1"",""10.4"",""13.17"",""6.74"",""7.9"",""8.96"",""8.53"",""5.39"",""8.52"",""7.32"",""10.2"","""",""19.37"",""14.06"",""40.18"",""15.63"",""9.62"",""108.02"",""3.44"",""9.3""";
"478,""2022-02-09 15:56:45"",""22"",""es"",""1832709985"",""2022-02-09 15:48:29"",""2022-02-09 15:56:45"",""50"",""1"",""A117"",""A1"",""A2"",""25"",""A3"",""1"",""25"",""1"",""1"",""145"",""96"",""138"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""A3"",""A2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""505.38"","""",""10.91"",""7.98"",""10.89"",""6.08"",""12.52"",""18.14"",""21.23"",""8.32"",""9.89"",""8.8"",""5.89"",""8.29"",""10.93"",""10.32"","""",""16.14"",""10.23"",""51.25"",""23.09"",""7.4"",""96.24"",""146.02"",""4.82""";
"479,""2022-02-09 15:57:55"",""22"",""es"",""768486228"",""2022-02-09 15:48:54"",""2022-02-09 15:57:55"",""37"",""0"",""A42"",""A1"",""A3"",""10"",""A8"",""1"",""14"",""2"",""1"",""30"",""10"",""30"",""2"",""2"",""1"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""A1"",""A2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""El tema de la distribución de autorías en que los líderes de grupo se benefician aunque no estén contribuyendo en el desarrollo de los trabajos es un problema bastante generalizado en América Latina, además es una práctica que castiga directamente a las personas investigadoras jóvenes y más aún a las mujeres. Debido a que se crea una estructura en que el crédito académico siempre va a beneficiar al líder de grupo y sus colaboradores más cercanos, incluyendo temas de proyectos, lo que limita el crecimiento de la carrera científica de las demás personas. En muchas ocasiones este tipo de situaciones genera presiones muy grandes sobre los miembros del grupo de investigación que hace que integrantes del grupo excluyan a sus colegas que no aceptan estas estructuras."",""547.65"","""",""7.13"",""3.48"",""6.46"",""4.02"",""6.27"",""10.03"",""14.92"",""8.26"",""10.42"",""5.05"",""6.05"",""6.11"",""54.45"",""6.14"","""",""17.09"",""15.1"",""18.41"",""17.24"",""8.41"",""88.27"",""64.35"",""169.99""";
"480,""2022-02-09 16:21:24"",""22"",""es"",""1726052072"",""2022-02-09 15:51:27"",""2022-02-09 16:21:24"",""53"",""1"",""A50"",""A2"",""A3"",""20"",""A4"",""1"",""10"",""1"",""1"",""25"",""14"",""13"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""A3"",""A2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""Muchas de las revistas """"indexadas"""" de mayor ranking se han convertido en una verdadera mafia. ";
Se ha satanizado el escribir en español, cuando los tomadores de decisiones y manejadores de recursos naturales no hablan inglés;" por lo tanto, los “investigadores” que solo se preocupan de su estatus académico o de investigador nunca logran asentar trabajos, que pueden incluso ser grandes aportes, en realidades locales (hablando en ámbito latinoamericano)."",""1806"","""",""13.05"",""7.25"",""11.4"",""12.82"",""13.5"",""17.01"",""23.52"",""10.76"",""20.5"",""8.52"",""7.67"",""84.48"",""57.9"",""59.34"","""",""421.13"",""14.14"",""106.04"",""31.19"",""15.13"",""187.76"",""221.78"",""461.11"""
"481,""2022-02-09 16:06:56"",""22"",""es"",""1929754610"",""2022-02-09 15:53:39"",""2022-02-09 16:06:56"",""37"",""0"",""A117"",""A1"",""A3"",""13"",""A19"",""1"",""15"",""1"",""1"",""20"",""5"",""18"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""A1"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""1"",""2"",""2"","""",""806.79"","""",""8.9"",""5.64"",""16.26"",""7.24"",""6.66"",""21.15"",""8.31"",""6.63"",""19.62"",""5.14"",""4.41"",""72.32"",""322.5"",""17.15"","""",""12.05"",""10.44"",""30.31"",""23.35"",""8.11"",""112.85"",""80.86"",""6.89""";
"483,""2022-02-09 16:25:27"",""22"",""es"",""1960323727"",""2022-02-09 15:55:54"",""2022-02-09 16:25:27"",""36"",""1"",""A139"",""A1"",""A3"",""10"",""A3"",""1"",""12"",""1"",""1"",""58"",""24"",""20"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""A3"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""1785.66"","""",""13.88"",""12.01"",""17.31"",""14.35"",""18.35"",""22.11"",""186.74"",""15.56"",""35.88"",""14.41"",""9.82"",""164.45"",""115.93"",""419.58"","""",""38.22"",""17.51"",""96.77"",""170.98"",""23.8"",""238.84"",""126.46"",""12.7""";
"484,""2022-02-09 16:14:41"",""22"",""es"",""1562562522"",""2022-02-09 15:56:25"",""2022-02-09 16:14:41"",""40"",""0"",""A45"",""A1"",""A4"",""16"",""A10"",""1"",""16"",""1"",""1"",""17"",""15"",""5"",""2"",""2"",""2"",""2"",""1"",""A1"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""A1"",""A2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""Gracias por la acuciosa encuesta.";
"Para las Humanidades y las Ciencias Sociales el """"ajuste"""" de la hipótesis, y en ocasiones hasta de los objetivos"""", constituye casi un recurso metodológico. La recursividad del diseño investigativo para las ciencias sociales y las humanidades, cuando se orientan dentro del paradigma hermenéutico es más que necesaria.";
",1106.74"","""",""70.66"",""76.98"",""12.08"",""8.28"",""16.32"",""9.57"",""25.02"",""11.38"",""7.63"",""7.46"",""6.91"",""15.74"",""10.78"",""12.86"","""",""26.69"",""16.15"",""90.09"",""28.77"",""12.71"",""117.68"",""127.79"",""395.19""";
"485,""2022-02-09 16:13:20"",""22"",""es"",""588588303"",""2022-02-09 15:56:46"",""2022-02-09 16:13:20"",""34"",""0"",""A117"",""A1"",""A3"",""7"",""A17"",""1"",""13"",""1"",""1"",""42"",""10"",""28"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""A3"",""A2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""El publicar por mantener un """"estándar de calidad"""", a nivel mundial a los investigadores se nos acomoda en un """"ranking"""" y entonces esa presión por permanecer dentro de esos estándares  hace que la investigación no sea con la libertad debida. Si no te mantienes en esos estándares pierdes reconocimiento institucional y puedes perder el trabajo. "",""1003.12"","""",""10.22"",""6.74"",""15.07"",""5.2"",""10.34"",""19.49"",""15.3"",""7.04"",""52.56"",""9.34"",""4.77"",""77.28"",""34.23"",""43.66"","""",""11.67"",""12.62"",""42.38"",""45.38"",""74.83"",""174.65"",""130.3"",""200.05""";
"486,""2022-02-09 16:04:28"",""22"",""es"",""1316570277"",""2022-02-09 15:57:11"",""2022-02-09 16:04:28"",""53"",""1"",""A117"",""A1"",""A2"",""17"",""A5"",""1"",""22"",""2"",""1"",""43"",""12"",""22"",""2"",""2"",""2"",""2"",""1"",""A1"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""A2"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"","""",""447.4"","""",""7.69"",""4.25"",""9.31"",""4.15"",""4.01"",""5.44"",""8.74"",""11.23"",""5.51"",""8.45"",""5.52"",""8.74"",""7.14"",""9.63"","""",""37.75"",""10.74"",""48.63"",""27.33"",""9.26"",""67.94"",""135.47"",""10.47""";
"487,""2022-02-09 16:11:00"",""22"",""es"",""1211592399"",""2022-02-09 15:57:35"",""2022-02-09 16:11:00"",""28"",""1"",""A189"",""A2"",""A2"",""0"",""A20"",""2"",""4"",""1"",""1"",""14"",""5"",""14"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""A1"",""A1"",""2"",""1"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""817.17"","""",""10.19"",""6.88"",""7.73"",""6.92"",""9.66"",""16.03"",""53.8"",""10.32"",""16.45"",""32.66"",""5.3"",""17.7"",""45.84"",""19.73"","""",""27.44"",""14.94"",""44.87"",""23.92"",""14.68"",""232.04"",""136.99"",""63.08""";
"488,""2022-02-09 16:08:51"",""22"",""es"",""664267169"",""2022-02-09 15:58:34"",""2022-02-09 16:08:51"",""36"",""0"",""A117"",""A1"",""A3"",""4"",""A9"",""2"",""5"",""2"",""1"",""9"",""3"",""9"",""2"",""1"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""2"",""Respecto a la pregunta de publicar los resultados aun que no coincidan con la hipótesis,  se pueden publicar refutando la hipótesis, con un estudio más detallado quizás para estar seguros de que no fue algo aleatorio, considero que eso también es dar a conocer una investigación."",""626.31"","""",""8.83"",""5.55"",""15.63"",""12.3"",""9.19"",""10.99"",""9.4"",""9.26"",""13.06"",""6.33"",""6.81"",""8.08"",""9.72"",""9.08"","""",""76.74"",""14.39"",""29.05"",""26.31"",""8.89"",""130.96"",""115.01"",""90.73""";
"489,""2022-02-09 16:27:44"",""22"",""es"",""893630531"",""2022-02-09 15:59:13"",""2022-02-09 16:27:44"",""37"",""1"",""A117"",""A1"",""A3"",""7"",""A4"",""1"",""7"",""2"",""1"",""70"",""10"",""60"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"","""",""1723.63"","""",""30.51"",""7.66"",""37.73"",""38.65"",""393.79"",""10.53"",""38.6"",""52.77"",""9.23"",""9.55"",""8.89"",""13.18"",""12.62"",""15.25"","""",""47.35"",""12.86"",""51.76"",""58.67"",""9.11"",""704.59"",""147.66"",""12.67""";
"490,""2022-02-09 16:13:14"",""22"",""es"",""462107246"",""2022-02-09 16:01:03"",""2022-02-09 16:13:14"",""56"",""0"",""A117"",""A1"",""A3"",""20"",""A5"",""2"",""24"",""2"",""1"",""39"",""13"",""34"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""A1"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""740.69"","""",""8.41"",""5.68"",""17.93"",""8.32"",""13.86"",""19.28"",""12.39"",""17.04"",""10.78"",""6.23"",""7.61"",""45.25"",""47.52"",""107.09"","""",""46.22"",""14.01"",""44.84"",""43.72"",""11.24"",""132"",""114.44"",""6.83""";
"492,""2022-02-09 16:17:55"",""22"",""es"",""2055798910"",""2022-02-09 16:06:17"",""2022-02-09 16:17:55"",""48"",""1"",""A36"",""A1"",""A3"",""7"",""A16"",""1"",""7"",""1"",""2"",""25"",""12"",""25"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""2"",""A2"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""Éxito !"",""711.94"","""",""8.42"",""12.63"",""11.11"",""6.85"",""10.75"",""22.42"",""22.46"",""13.55"",""12.78"",""10.91"",""15.83"",""8.77"",""10.16"",""11.58"","""",""33.64"",""9.97"",""30.53"",""31.7"",""10.94"",""166.75"",""212.45"",""37.74""";
"493,""2022-02-09 16:49:37"",""22"",""es"",""665923344"",""2022-02-09 16:07:12"",""2022-02-09 16:49:37"",""30"",""1"",""A39"",""A1"",""A3"",""2"",""A3"",""2"",""6"",""1"",""1"",""8"",""4"",""0"",""2"",""1"",""2"",""2"",""2"",""A1"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""A1"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""2553.92"","""",""18.99"",""23.33"",""13.23"",""6.7"",""16.59"",""101.19"",""31.4"",""130.97"",""19.65"",""12.96"",""6.7"",""9.58"",""15.04"",""380.65"","""",""16.01"",""26.05"",""929.61"",""342.17"",""120.27"",""136.86"",""187.1"",""8.87""";
"494,""2022-02-09 16:31:12"",""22"",""es"",""1845827619"",""2022-02-09 16:08:59"",""2022-02-09 16:31:12"",""45"",""0"",""A173"",""A1"",""A1"",""15"",""A2"",""1"",""14"",""1"",""1"",""27"",""27"",""4"",""2"",""2"",""1"",""2"",""2"",""A3"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""1"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""1343.22"","""",""10.44"",""9.07"",""30.4"",""63.91"",""13.34"",""71.96"",""15.14"",""7.91"",""25.62"",""20.37"",""13.34"",""106.52"",""10.63"",""107.63"","""",""58.19"",""36.74"",""154.85"",""138.99"",""18.45"",""257.25"",""83.4"",""89.07""";
"497,""2022-02-09 16:37:08"",""22"",""es"",""1587305021"",""2022-02-09 16:10:38"",""2022-02-09 16:37:08"",""49"",""0"",""A36"",""A2"",""A3"",""15"",""A3"",""1"",""22"",""1"",""1"",""58"",""17"",""52"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""A veces uno se puede olvidar agradecer una persona quien ayudo de manera leve en la investigación, esto pasa en particulares con investigaciones que han sido realizadas hace años pero no han sido publicadas. Considero que no es buena practica pero muchas veces no se hace a propósito. Ha sido buena practica para mí anotar en conjunto con los datos la lista de personas quien participaron y sus grados de participación para tratar de resolver este problema."",""1598.13"","""",""8.46"",""7.15"",""10.26"",""12.49"",""9.61"",""67.94"",""39"",""6.53"",""10.49"",""11.87"",""5.18"",""33.23"",""177"",""26.12"","""",""389.1"",""25.53"",""31.78"",""33.18"",""6.37"",""124.2"",""148.1"",""414.54""";
